aa,aar,Afar
km,khm,Khmer
,kho,Khotanese
,khq,Koyra Chiini Songhay
,khw,Khowar
ki,kik,Kikuyu
rw,kin,Kinyarwanda
ky,kir,Kirghiz
,kiu,Kirmanjki
,kkj,Kako
,kln,Kalenjin
,kmb,Kimbundu
,koi,Komi-Permyak
,kok,Konkani
kv,kom,Komi
kg,kon,Kongo
ko,kor,Korean
,kos,Kosraean
,kpe,Kpelle
,krc,Karachay-Balkar
,kri,Krio
,krj,Kinaray-A
,krl,Karelian
,kru,Kurukh
,ksb,Shambala
,ksf,Bafia
,ksh,Kölsch
kj,kua,Kuanyama
,kum,Kumyk
ku,kur,Kurdish
,kut,Kutenai
,lad,Ladino
,lag,Rangi
,lah,Lahnda
,lam,Lamba
lo,lao,Lao
la,lat,Latin
lv,lav,Latvian
,lez,Lezghian
,lfn,Lingua Franca Nova
,lij,Ligurian
li,lim,Limburgan
ln,lin,Lingala
lt,lit,Lithuanian
,liv,Liv
,lkt,Lakota
,lmo,Lombard
,lol,Mongo
,lou,Louisiana Creole
,loz,Lozi
,lrc,Northern Luri
,ltg,Latgalian
lb,ltz,Luxembourgish
,lua,Luba-Lulua
lu,lub,Luba-Katanga
lg,lug,Ganda
,lui,Luiseno
,lun,Lunda
,luo,Luo
,lus,Lushai
,luy,Luyia
,lzh,Literary Chinese
,lzz,Laz
,mad,Madurese
,maf,Mafa
,mag,Magahi
mh,mah,Marshallese
,mai,Maithili
,mak,Makasar
ml,mal,Malayalam
,man,Mandingo
mr,mar,Marathi
,mas,Masai
,mde,Maba
,mdf,Moksha
,mdr,Mandar
,men,Mende
,mer,Meru
,mfe,Morisyen
,mga,Middle Irish
,mgh,Makhuwa-Meetto
,mgo,Meta'
,mhr,Eastern Mari
,mic,Mi'kmaq
,min,Minangkabau
,miq,Mískito
,mjw,Karbi
mk,mkd,Macedonian
mg,mlg,Malagasy
mt,mlt,Maltese
,mnc,Manchu
,mni,Manipuri
,mnw,Mon
,moh,Mohawk
mn,mon,Mongolian
,mos,Mossi
mi,mri,Maori
,mrj,Western Mari
ms,msa,Malay
,mua,Mundang
,mus,Creek
,mwl,Mirandese
,mwr,Marwari
,mwv,Mentawai
my,mya,Burmese
,mye,Myene
,myv,Erzya
,mzn,Mazanderani
,nah,Nahuatl
,nan,Min Nan Chinese
,nap,Neapolitan
,naq,Khoekhoe
na,nau,Nauru
nv,nav,Navajo
nr,nbl,South Ndebele
nd,nde,North Ndebele
ng,ndo,Ndonga
,nds,Low German
ne,nep,Nepali
,new,Newari
,nhn,Central Nahuatl
,nia,Nias
,niu,Niuean
,njo,Ao Naga
nl,nld,Dutch
,nmg,Kwasio
,nnh,Ngiemboon
nn,nno,Norwegian Nynorsk
nb,nob,Norwegian Bokmål
,nog,Nogai
,non,Old Norse
,nov,Novial
,nqo,N'Ko
,nso,Pedi
,nus,Nuer
,nwc,Classical Newari
ny,nya,Nyanja
,nym,Nyamwezi
,nyn,Nyankole
,nyo,Nyoro
,nzi,Nzima
oc,oci,Occitan
oj,oji,Ojibwa
or,ori,Oriya
om,orm,Oromo
,osa,Osage
os,oss,Ossetian
,ota,Ottoman Turkish
,pag,Pangasinan
,pal,Pahlavi
,pam,Pampanga
pa,pan,Panjabi
,pap,Papiamento
,pau,Palauan
,pcd,Picard
,pcm,Nigerian Pidgin
,pdc,Pennsylvania German
,pdt,Plautdietsch
,peo,Old Persian
,pfl,Pfaelzisch
,phn,Phoenician
pi,pli,Pali
,pms,Piemontese
,pnt,Pontic
pl,pol,Polish
,pon,Pohnpeian
pt,por,Portuguese
,prg,Prussian
,pro,Old Provençal
,prs,Dari
ps,pus,Pushto
,quc,K'iche'
qu,que,Quechua
,qug,Chimborazo Highland Quichua
,quy,Ayacucho Quechua
,quz,Cusco Quechua
,raj,Rajasthani
,rap,Rapanui
,rar,Rarotongan
,rgn,Romagnol
,rif,Tarifit
,rof,Rombo
rm,roh,Romansh
,rom,Romany
ro,ron,Romanian
,rtm,Rotuman
,rue,Rusyn
,rug,Roviana
rn,run,Rundi
,rup,Macedo-Romanian
ru,rus,Russian
,rwk,Rwa
,sad,Sandawe
sg,sag,Sango
,sah,Yakut
,sam,Samaritan Aramaic
sa,san,Sanskrit
,saq,Samburu
,sas,Sasak
,sat,Santali
,saz,Saurashtra
,sba,Ngambay
,sbp,Sangu
,scn,Sicilian
,sco,Scots
,sdc,Sassarese Sardinian
,sdh,Southern Kurdish
,see,Seneca
,seh,Sena
,sei,Seri
,sel,Selkup
,ses,Koyraboro Senni Songhai
,sga,Old Irish
,sgs,Samogitian
,shi,Tachelhit
,shn,Shan
,shs,Shuswap
,shu,Chadian Arabic
,sid,Sidamo
si,sin,Sinhala
,sli,Lower Silesian
sk,slk,Slovak
sl,slv,Slovenian
,sly,Selayar
,sma,Southern Sami
se,sme,Northern Sami
,smj,Lule Sami
,smn,Inari Sami
sm,smo,Samoan
,sms,Skolt Sami
sn,sna,Shona
sd,snd,Sindhi
,snk,Soninke
,sog,Sogdian
so,som,Somali
,son,Songhai
st,sot,Southern Sotho
es,spa,Spanish
sq,sqi,Albanian
sc,srd,Sardinian
,srn,Sranan Tongo
sr,srp,Serbian
,srr,Serer
ss,ssw,Swati
,ssy,Saho
,stq,Saterfriesisch
,suk,Sukuma
su,sun,Sundanese
,sus,Susu
,sux,Sumerian
sw,swa,Swahili
,swb,Maore Comorian
,swc,Congo Swahili
sv,swe,Swedish
,syc,Classical Syriac
,syr,Syriac
,szl,Silesian
ty,tah,Tahitian
ta,tam,Tamil
tt,tat,Tatar
,tcy,Tulu
te,tel,Telugu
,tem,Timne
,teo,Teso
,ter,Tereno
,tet,Tetum
tg,tgk,Tajik
tl,tgl,Tagalog
th,tha,Thai
,the,Chitwania Tharu
,tig,Tigre
ti,tir,Tigrinya
,tiv,Tiv
,tkl,Tokelau
,tkr,Tsakhur
,tlh,Klingon
,tli,Tlingit
,tly,Talysh
,tmh,Tamashek
,tog,Tonga
to,ton,Tonga
,tok,Toki Pona
,tpi,Tok Pisin
,tru,Turoyo
,trv,Sediq
,tsd,Tsakonian
,tsi,Tsimshian
tn,tsn,Tswana
ts,tso,Tsonga
,ttt,Muslim Tat
tk,tuk,Turkmen
,tum,Tumbuka
tr,tur,Turkish
,tvl,Tuvalu
tw,twi,Twi
,twq,Tasawaq
,tyv,Tuvinian
,tzm,Central Atlas Tamazight
,udm,Udmurt
,uga,Ugaritic
ug,uig,Uighur
uk,ukr,Ukrainian
,umb,Umbundu
,unm,Unami
ur,urd,Urdu
uz,uzb,Uzbek
,vai,Vai
,vec,Venetian
ve,ven,Venda
,vep,Veps
vi,vie,Vietnamese
,vls,Vlaams
,vmf,Mainfränkisch
vo,vol,Volapük
,vot,Votic
,vro,Võro
,vun,Vunjo
,wae,Walser
,wal,Wolaytta
,war,Waray
,was,Washo
,wbp,Warlpiri
wa,wln,Walloon
wo,wol,Wolof
,wuu,Wu Chinese
,xal,Kalmyk
xh,xho,Xhosa
,xmf,Mingrelian
,xog,Soga
,yao,Yao
,yap,Yapese
,yav,Yangben
,ybb,Yemba
yi,yid,Yiddish
yo,yor,Yoruba
,yrl,Nhengatu
,yue,Yue Chinese
,yuw,Yau
,zap,Zapotec
,zbl,Blissymbols
,zea,Zeeuws
,zen,Zenaga
,zgh,Standard Moroccan Tamazight
za,zha,Zhuang
zh,zho,Chinese
zu,zul,Zulu
,zun,Zuni
,zza,Zaza
